orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10274,2023-02-05,2023-02-13,2023-02-06,Shipped,,379
10275,2023-02-07,2023-02-17,2023-02-13,Shipped,,119
10276,2023-02-17,2023-02-26,2023-02-23,Shipped,,204
10277,2023-02-19,2023-02-27,2023-02-20,Shipped,,148
10278,2023-02-21,2023-03-03,2023-02-24,Shipped,,112
10279,2023-02-24,2023-03-06,2023-03-02,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",141
10280,2023-03-04,2023-03-14,2023-03-06,Shipped,,249
10281,2023-03-06,2023-03-15,2023-03-10,Shipped,,157
10282,2023-03-07,2023-03-13,2023-03-09,Shipped,,124
10283,2023-03-07,2023-03-17,2023-03-10,Shipped,,260
10284,2023-03-08,2023-03-16,2023-03-13,Shipped,Custom shipping instructions sent to warehouse,299
10285,2023-03-14,2023-03-22,2023-03-18,Shipped,,286
10286,2023-03-15,2023-03-24,2023-03-19,Shipped,,172
10287,2023-03-17,2023-03-24,2023-03-19,Shipped,,298
10288,2023-03-19,2023-03-29,2023-03-23,Shipped,,166
10289,2023-03-21,2023-03-31,2023-03-22,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,167
10290,2023-03-25,2023-04-02,2023-03-31,Shipped,,198
10291,2023-03-26,2023-04-04,2023-04-01,Shipped,,448
10292,2023-03-26,2023-04-05,2023-03-29,Shipped,They want to reevaluate their terms agreement with Finance.,131
10293,2023-03-27,2023-04-05,2023-04-01,Shipped,,249
10294,2023-03-28,2023-04-04,2023-04-01,Shipped,,204
10295,2023-03-28,2023-04-04,2023-04-01,Shipped,They want to reevaluate their terms agreement with Finance.,362
10296,2023-04-02,2023-04-09,2023-04-03,Shipped,,415
10297,2023-04-03,2023-04-09,2023-04-08,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,189
10298,2023-04-14,2023-04-22,2023-04-18,Shipped,,103
10299,2023-04-17,2023-04-27,2023-04-18,Shipped,,186
10300,2022-04-20,2022-04-29,2022-04-25,Shipped,,128
10301,2022-04-21,2022-05-01,2022-04-24,Shipped,,299
10302,2022-04-22,2022-05-02,2022-04-23,Shipped,,201
10303,2023-04-23,2023-05-01,2023-04-26,Shipped,Customer inquired about remote controlled models and gold models.,484
10304,2023-04-28,2023-05-07,2023-05-04,Shipped,,256
10305,2023-04-30,2023-05-09,2023-05-02,Shipped,Check on availability.,286
10306,2023-05-01,2023-05-08,2023-05-04,Shipped,,187
10307,2023-05-01,2023-05-10,2023-05-07,Shipped,,339
10308,2023-05-02,2023-05-11,2023-05-07,Shipped,Customer requested that FedEx Ground is used for this shipping,319
10309,2023-05-02,2023-05-11,2023-05-05,Shipped,,121
10310,2023-05-03,2023-05-11,2023-05-05,Shipped,,259
10311,2023-05-03,2023-05-10,2023-05-07,Shipped,Difficult to negotiate with customer. We need more marketing materials,141
10312,2023-05-08,2023-05-14,2023-05-10,Shipped,,124
10313,2023-05-09,2023-05-15,2023-05-12,Shipped,Customer requested that FedEx Ground is used for this shipping,202
10314,2023-05-09,2023-05-19,2023-05-10,Shipped,,227
10315,2023-05-16,2023-05-26,2023-05-17,Shipped,,119
10316,2023-05-19,2023-05-27,2023-05-25,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
10317,2023-05-20,2023-05-30,2023-05-26,Shipped,,161
10318,2023-05-20,2023-05-27,2023-05-25,Shipped,,157
10319,2023-05-21,2023-05-29,2023-05-24,Shipped,Customer requested that DHL is used for this shipping,456
10320,2023-05-21,2023-05-31,2023-05-25,Shipped,,144
10321,2023-05-22,2023-05-30,2023-05-25,Shipped,,462
10322,2023-05-22,2023-05-30,2023-05-28,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,363
10323,2023-05-23,2023-05-30,2023-05-27,Shipped,,128
10324,2023-05-23,2023-05-29,2023-05-26,Shipped,,181
10325,2023-05-23,2023-05-31,2023-05-26,Shipped,,121
10326,2023-05-27,2023-06-03,2023-05-28,Shipped,,144
10327,2023-05-28,2023-06-06,2023-05-31,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,145
10328,2023-05-30,2023-06-08,2023-06-05,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,278
10329,2023-06-02,2023-06-11,2023-06-03,Shipped,,131
10330,2023-06-03,2023-06-12,2023-06-08,Shipped,,385
10331,2023-06-04,2023-06-10,2023-06-10,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,486
10332,2023-06-04,2023-06-12,2023-06-05,Shipped,,187
10333,2023-06-05,2023-06-14,2023-06-07,Shipped,,129
10334,2023-06-06,2023-06-15,,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144
10335,2023-06-06,2023-06-16,2023-06-10,Shipped,,124
10336,2023-06-07,2023-06-13,2023-06-11,Shipped,Customer requested that DHL is used for this shipping,172
10337,2023-06-08,2023-06-17,2023-06-13,Shipped,,424
10338,2023-06-09,2023-06-19,2023-06-14,Shipped,,381
10339,2023-06-10,2023-06-17,2023-06-17,Shipped,,398
10340,2023-06-11,2023-06-18,2023-06-12,Shipped,Customer is interested in buying more Ferrari models,216
10341,2023-06-11,2023-06-18,2023-06-16,Shipped,,382
10342,2023-06-11,2023-06-18,2023-06-16,Shipped,,114
10343,2023-06-11,2023-06-18,2023-06-13,Shipped,,353
10344,2023-06-12,2023-06-19,2023-06-16,Shipped,,350
10345,2023-06-12,2023-06-18,2023-06-13,Shipped,,103
10346,2023-06-16,2023-06-22,2023-06-17,Shipped,,112
10347,2023-06-16,2023-06-24,2023-06-17,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,114
10348,2023-05-19,2023-05-26,2023-05-23,Shipped,,458
10349,2023-06-18,2023-06-24,2023-06-20,Shipped,,151
10350,2023-06-19,2023-06-25,2023-06-22,Shipped,,141
10351,2023-06-20,2023-06-28,2023-06-24,Shipped,,324
10352,2023-06-20,2023-06-29,2023-06-26,Shipped,,198
10353,2023-06-21,2023-06-28,2023-06-22,Shipped,,447
10354,2023-06-21,2023-06-27,2023-06-22,Shipped,,323
10355,2023-06-24,2023-07-01,2023-06-30,Shipped,,141
10356,2023-06-26,2023-07-02,2023-06-29,Shipped,,250
10357,2023-06-27,2023-07-03,2023-07-01,Shipped,,124
10358,2023-06-27,2023-07-03,2023-07-03,Shipped,Customer requested that DHL is used for this shipping,141
10359,2023-07-02,2023-07-10,2023-07-05,Shipped,,353
10360,2023-07-03,2023-07-09,2023-07-05,Shipped,,496
10361,2023-07-04,2023-07-11,2023-07-07,Shipped,,282
10362,2023-07-23,2023-08-03,2023-07-28,Shipped,,161
10363,2023-07-24,2023-07-30,2023-07-28,Shipped,,334
10364,2023-07-24,2023-08-04,2023-07-27,Shipped,,350
10365,2023-07-25,2023-08-05,2023-07-29,Shipped,,320
10366,2023-07-28,2023-08-06,2023-07-30,Shipped,,381
10367,2023-07-30,2023-08-08,2023-08-03,Resolved,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedEx's investigation proved this wrong.,205
10368,2023-08-06,2023-08-14,2023-08-11,Shipped,Can we renegotiate this one?,124
10369,2023-08-07,2023-08-15,2023-08-11,Shipped,,379
10370,2023-08-07,2023-08-19,2023-08-12,Shipped,,276
10371,2023-08-10,2023-08-21,2023-08-12,Shipped,,124
10372,2023-08-13,2023-08-23,2023-08-15,Shipped,,398
10373,2023-08-18,2023-08-26,2023-08-24,Shipped,,311
10374,2023-08-20,2023-08-27,2023-08-21,Shipped,,333
10375,2023-08-21,2023-08-28,2023-08-24,Shipped,,119
10376,2023-08-26,2023-09-05,2023-08-31,Shipped,,219
10377,2023-08-27,2023-09-08,2023-08-30,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
10378,2023-08-28,2023-09-05,2023-08-29,Shipped,,141
10379,2023-08-28,2023-09-05,2023-08-29,Shipped,,141
10380,2023-09-03,2023-09-11,2023-09-05,Shipped,,141
10381,2023-09-04,2023-09-12,2023-09-05,Shipped,,321
10382,2023-09-04,2023-09-10,2023-09-05,Shipped,Custom shipping instructions sent to warehouse,124
10383,2023-09-09,2023-09-17,2023-09-12,Shipped,,141
10384,2023-09-10,2023-09-21,2023-09-14,Shipped,,321
10385,2023-09-15,2023-09-24,2023-09-16,Shipped,,124
10386,2023-09-16,2023-09-24,2023-09-21,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141
10387,2023-09-17,2023-09-24,2023-09-21,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148
10388,2023-09-18,2023-09-26,2023-09-24,Shipped,,462
10389,2023-09-18,2023-09-24,2023-09-23,Shipped,,448
10390,2023-09-19,2023-09-26,2023-09-22,Shipped,They want to reevaluate their terms agreement with Finance.,124
10391,2023-09-24,2023-10-05,2023-09-30,Shipped,,276
10392,2023-09-25,2023-10-03,2023-09-27,Shipped,,452
10393,2023-09-26,2023-10-07,2023-09-29,Shipped,They want to reevaluate their terms agreement with Finance.,323
10394,2023-09-30,2023-10-10,2023-10-04,Shipped,,141
10395,2023-10-02,2023-10-09,2023-10-08,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,250
10396,2023-10-08,2023-10-09,2023-10-10,Shipped,,124
10397,2023-10-10,2023-10-10,2023-10-10,Shipped,,242
10398,2023-10-10,2023-10-10,2023-10-10,Shipped,,353
